USERID,YOUR HEIGHT,YOUR WEIGHT,YOUR AGE,HOW WOULD YOU DESCRIBE YOUR ABILITY LEVEL,BRAND TESTED,PRODUCT TESTED,MODEL,LENGTH TESTED,WHERE DID YOU USE THE PRODUCT,WHAT TYPE OF TERRAIN DID YOU SKI? (Check all that apply):,WHAT TYPE OF CONDITIONS DID YOU SKI IT IN,THE SKI FELT,HOW MUCH DID YOU LIKE THE MANEUVERABILITY OF THIS SKI,HOW MANUVARABLE AND STABLE WAS THE SKI,HOW MUCH DID YOU LIKE THE STABILITY OF THIS SKI,HOW DEMANDING OR PUNISHING DID YOU FIND THE SKI TO BE ,RIDE QUALITY / SUSPENSION,THE SKI FELT COMFORTABLE TO ME ON / IN ,HOW WOULD YOU DESCRIBE THE FUN-FACTOR OF THIS SKI,DID YOU FEEL LIKE YOU WERE ON THE CORRECT LENGTH OF THIS SKI,WHAT TYPE OF SKIER DO YOU IMAGINE WILL GET ALONG BEST WITH THIS SKI,HOW MUCH DO YOU LIKE THE LOOKS OF THE PRODUCT,HOW LIKELY ARE YOU TO EITHER BUY OR RECOMMEND THIS PRODUCT,elaborate ON HOW LIKELY ARE YOU TO RECOMMEND OR BUY SKI:,"If so, which products and what about them makes you prefer them",ANYTHING ELSE YOU'D LIKE TO ADD
1,68,130,42,Expert,Atomic,Skis,Bentchetler,172,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Softer, mixed conditions","Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced, Fun, Playful",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.","Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm moguls, Pretty soft, more-forgiving moguls, Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",10,Might buy,"I wasn't sure what to expect out of the ski b/c it was more center mounted then I'm used to, but I really enjoyed them and they were really capable on steeps when I had to make quick turns. Definitely not a great groomer ski - but that's no surprise",,
2,70,160,51,Advanced,Folsom,Skis,Spar 88,182,Inbounds,Groomers,Extremely firm harpdack or ice - where it was very hard to hold an edge,"Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Weird / Unpredictable, something felt ""Off"" about the ski","Didn't love it, didn't hate it. No strong impression one way or the other.","Was more stable than I was expecting, Offered a good mix of stability & maneuverability",I'd call it below average.,"Given the hard pack under the light dusting of new snow, the ski only ever felt in its element when going faster, leaning into the shovels, and laying over farther to engage the edges. ",I'm not sure,The skis really only felt well composed leaning well into the shovels and and a bit higher speed (over 30mph). ,I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Beginner / intermediate skiers who want an easy going ski that will allow them to progress all over the mountain, Beginner / intermediate skiers who will stick primarily to groomers, but might occasionally venture off piste., Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",5,"If I bought the ski, I would add more camber toward the tail. ",,,"I skied these to see if I might benefit from having a ski that would fit between my Stöckli Laser AX and my White Dot Altum 104.  It might have been the snow conditions, but I couldn't find anything about these skis that improved on the Stöcklis. "
3,69,175,49,Advanced / Expert,Renoun,Skis,Atlas 80,177,Inbounds,Groomers,,"Manueverable / Easy to Turn, Demanding / Punishing, Well-Balanced, Fun","I'm not used to this category; I'm usually on free ride ish skis.  I loved what It could do, but had a hard time getting it done :)",Offered a below-average mix of stability & maneuverability,Above average. Pretty good.,Had me a bit hesitant to open things up and ski faster.,Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Lower-angle, intermediate terrain",I imagine it will resonate with a pretty niche / specific type of skier,"Yes, definitely.",Only skiers with advanced technique / skills,5,"Not looking to buy another carving ski, but was very fun to try!",,,It felt  precise and smooth; I couldn't get the rhythm for dynamic turns going on it but it's not the ski's fault :). Really neat experience; thanks!  I would use this ski some; just can't justify buying it.
3,69,175,49,Advanced / Expert,La Sportiva,Skis,Tempo,179,Backcountry,"Low-angle, off-piste terrain, Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,I'd call it below average.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Jarring. Too stiff and harsh. Like riding a rigid mountain bike down a rocky trail.,"Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Trees (e.g., trees off of the East River Lift)",I imagine it will resonate with a pretty niche / specific type of skier,"I'd like to try a longer length, but not sure that longer would be better.",Almost *anyone* who wants to just have fun on the mountain,7,It's neat but I already have a 4frnt raven,,,"I am a touring newbie; thanks for the demo!  Quite nice in 6"" snow for its width."
4,71,175,36,Expert,Renoun,Skis,Endurance 88,170,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Intuitive, Stable, Fun, Confidence inspiring, Poppy",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,Had me a bit hesitant to open things up and ski faster.,Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers, Physically strong and also highly skilled skiers.",5,"Probably buying - it suits my style quite well, but so do a few other skis",,,
5,70,220,40,Advanced,Atomic,Skis,Redster,182,Inbounds,Groomers,Extremely firm harpdack or ice - where it was very hard to hold an edge,"Intuitive, Easy, Stable, Manueverable / Easy to Turn, Demanding / Punishing",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,Firm groomers,It's among the most fun skis I've ever been on - in this category of skis,"Yes, definitely.",Only skiers with advanced technique / skills,6,Already own carving skis,,,
6,68,140,42,Expert,Dynastar,Skis,E-Pro 99 Women’s,170,Inbounds,"Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced, Fun, Confidence inspiring",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Almost *anyone* who wants to just have fun on the mountain, Beginner / intermediate skiers who want an easy going ski that will allow them to progress all over the mountain, Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",4,Might buy,,,
7,66,152,60,Advanced,Rossignol,Skis,Sender 95 TI,178,Inbounds,"Groomers, Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Easy, Manueverable / Easy to Turn, Well-Balanced",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",5,Might buy,,,
7,66,152,60,Advanced,Renoun,Skis,  Endurance 98,170,Inbounds,"Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Easy, Stable, Manueverable / Easy to Turn, Well-Balanced, Fun, Confidence inspiring",Absolutely loved how maneuverable it felt. Extremely impressed.,Offered a phenomenal mix of stability and maneuverability,Above average. Pretty good.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",I'm not sure,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.",,6,"Probably buying - it suits my style quite well, but so do a few other skis",,No,
8,74,190,49,Advanced / Expert,Renoun,Skis,Citadel 106,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Easy, Manueverable / Easy to Turn, Poppy",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,In the chopped up conditions needed to open up a bit more or the tips deflected a bit. Slow speeds in chop tips got bounced ,I'm not sure,"Firm groomers, Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,I definitely should have gone longer. This ski was too short for me.,"Beginner / intermediate skiers who will stick primarily to groomers, but might occasionally venture off piste., Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers",7,Might buy,,,
8,74,190,40,Advanced / Expert,4FRNT,Skis,Devastator,186,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Stable, Manueverable / Easy to Turn, Well-Balanced, Confidence inspiring",Really Liked It. Very impressed.,Offered a phenomenal mix of stability and maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",8,"Probably buying - it suits my style quite well, but so do a few other skis",This would fit as a ski I could use almost daily but would possibly overlap ,Deathwish  more of an all around. This ski might not fair as well on hardpack but tough to say since those were not the conditions skied the 4frnt,
9,72,220,34,Advanced / Expert,WNDR Alpine,Skis,Alpine Intention Cambered,110,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow","Intuitive, Manueverable / Easy to Turn",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.","It wasn’t punishing, but I also kind of hated it at skiing it centered to backseat.  It really came alive driven from the front. ",I'm not sure,"Soft groomers where it felt easy to hold an edge, Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Beginner / intermediate skiers who want an easy going ski that will allow them to progress all over the mountain, Only skiers with advanced technique / skills",7,Might buy,"I own way too many skis, could see it as a 50-50 or backcountry wider ski",,"The light weight of the ski was very counterintuitive, it made me reluctant to really push into the front of the ski the first run or two.  The ski felt sort of jarring used that way, even though I think it could work well for a developing skier in a shorter length because the light weight makes it easy to push around (a la Soul 7).  I found I got along much better with it when I pushed into the front more and I honestly stopped noticing it getting knocked around in the chop at that point."
9,72,220,34,Advanced / Expert,Renoun,Skis,Endurance 98,184,Inbounds,"Groomers, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar)","Extremely firm harpdack or ice - where it was very hard to hold an edge, Firm, off-piste chop or crud","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Confidence inspiring",Really Liked It. Very impressed.,"Was more stable than I was expecting, Offered a phenomenal mix of stability and maneuverability",Above average. Pretty good.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Firm moguls, Steeps (e.g., off the High Lift or The North Face t-bar)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.",Almost *anyone* who wants to just have fun on the mountain,9,Might buy,It's good at everything but didn't feel exceptional at anything to me,,"It's one of the most balanced skis I've ever used.  I think a lot of people could be happy with it as their primary/only mid-width all mountain ski.  I did miss the pure mass of more traditional ski constructions in some ways, but the ski didn't feel unstable per se to me.  It's hard to describe."
10,72,200,42,Expert,Fischer,Skis,Ranger 96,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Firm, off-piste chop or crud","Intuitive, Stable, Manueverable / Easy to Turn, Well-Balanced",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine that a lot of skiers will get along really well with this ski.,"I'd like to try a longer length, but not sure that longer would be better.",Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers,8,Might buy,,,
11,71,175,36,Expert,La Sportiva,Skis,Tempo,190,Backcountry,"Low-angle, off-piste terrain",Untracked powder,"Intuitive, Easy, Stable, Manueverable / Easy to Turn",Above average. Pretty good.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.","Felt like it was forgiving of mistakes, while also being nicely supportive.",I'm not sure,"Lower-angle, intermediate terrain, Snodgrass",I imagine it will resonate with a pretty niche / specific type of skier,"Yes, definitely.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",5,Might buy,,,"Did one short powder run at Snodgrass.  I liked it, but I'm not very experienced in powder"
11,71,175,36,Expert,Dynastar,Skis,M-Free 99,179,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Well-Balanced, Confidence inspiring",Really Liked It. Very impressed.,Offered a good mix of stability & maneuverability,"Didn't love it, didn't hate it. No strong impression one way or the other.","Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Pretty soft, more-forgiving moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift), Felt really great in any type of loose snow",I imagine that a lot of skiers will get along really well with this ski.,"Yes, definitely.","Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",5,Might buy,,,I reached the ski's speed limit (or mine) going very fast on chopped up groomers to get back to the lift (trying to follow the Blister reviewers ;)
12,69,175,49,Advanced / Expert,LINE,Skis,Sir Francis Bacon,184,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Extremely firm harpdack or ice - where it was very hard to hold an edge, Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced, Fun, Confidence inspiring, Poppy, Playful",Absolutely loved how maneuverable it felt. Extremely impressed.,Offered a good mix of stability & maneuverability,I'd call it below average.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Soft groomers where it felt easy to hold an edge, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Trees (e.g., trees off of the East River Lift)",It's among the most fun skis I've ever been on - in this category of skis,"I'd like to try a longer length, but not sure that longer would be better.","Advanced & expert skiers looking for a really fun, playful ski to trick of jumps and maybe hit the park",6,Definitely buying - it suits my style of skiing perfectly,Already own a pair(176); wanted to try longer,,"Thankyou for changing the top sheet color; I was cussing Line earlier this year when digging to find my white SFB's.  Also, this 184 feels significantly different than my (last year's) 176; the 184 feels stiffer and the radius feels longer."
12,69,175,49,Advanced / Expert,LINE,Skis,Sakana,176,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Extremely firm harpdack or ice - where it was very hard to hold an edge, Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Manueverable / Easy to Turn, Forgiving of mistakes, Fun, Playful",Above average. Pretty good.,Offered a good mix of stability & maneuverability,Above average. Pretty good.,"Felt like it was forgiving of mistakes, while also being nicely supportive.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Firm moguls, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal), Steeps (e.g., off the High Lift or The North Face t-bar), Trees (e.g., trees off of the East River Lift)",I imagine it will resonate with a pretty niche / specific type of skier,"I'd like to try a longer length, but not sure that longer would be better.","Almost *anyone* who wants to just have fun on the mountain, Intermediate skiers looking for a really fun, playful ski that's comfortable all-around",5,Not Likely - I didn't click with this ski (feel free to elaborate below),,,I was surprised how well it handled steeps
12,69,175,49,Advanced / Expert,LINE,Skis,Optic 104,186,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal), Steeps (e.g., terrain off the High Lift or The North Face t-bar), Trees (e.g., trees off of East River Lift)","Extremely firm harpdack or ice - where it was very hard to hold an edge, Firm, off-piste chop or crud, Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Demanding / Punishing, Scary",I'd call it below average,Offered a below-average mix of stability & maneuverability,I'd call it below average.,Had me a bit hesitant to open things up and ski faster.,Jarring. Too stiff and harsh. Like riding a rigid mountain bike down a rocky trail.,"Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain",I imagine it will resonate with a pretty niche / specific type of skier,"I'd like to try a shorter length, but not sure that shorter would be better.",Only skiers with advanced technique / skills,5,Not Likely - I didn't click with this ski (feel free to elaborate below),I couldn't make the ski work well; I feel like a lot of the problem was with me and not the ski; If I had more time on it I might like it better; it's more demanding than what I usually ski.,,
13,66,148,43,Intermediate,Icelantic,Skis,butterflies,162,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Low-angle, off-piste terrain, Fairly Steep Terrain (e.g., Joker, Twister, Crystal)","Softer, mixed conditions, Soft chop, pretty forgiving, tracked-up snow, Untracked powder","Intuitive, Easy, Stable, Manueverable / Easy to Turn, Forgiving of mistakes, Well-Balanced, Fun, Confidence inspiring, Playful",Absolutely loved how maneuverable it felt. Extremely impressed.,"Offered a phenomenal mix of stability and maneuverability, Is among the most stable skis I've ever been on",Absolutely loved how stable it felt. Extremely impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Soft groomers where it felt easy to hold an edge, Pretty soft, more-forgiving moguls, Lower-angle, intermediate terrain, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal)",,"Yes, definitely.","Almost *anyone* who wants to just have fun on the mountain, Beginner / intermediate skiers who want an easy going ski that will allow them to progress all over the mountain, Beginner / intermediate skiers who will stick primarily to groomers, but might occasionally venture off piste., Intermediate skiers looking for a really fun, playful ski that's comfortable all-around, Advanced and expert skiers who want an all-mountain ski that excels at carving up groomers",6,Definitely buying - it suits my style of skiing perfectly,,,
14,65,140,69,Advanced / Expert,Atomic,Skis,Cloud,152,Inbounds,"Groomers, Fairly soft, pretty forgiving moguls, Fairly Steep Terrain (e.g., Joker, Twister, Crystal)",Extremely firm harpdack or ice - where it was very hard to hold an edge,"Manueverable / Easy to Turn, Well-Balanced, Fun, Confidence inspiring, Poppy, Playful",Absolutely loved how maneuverable it felt. Extremely impressed.,Offered a good mix of stability & maneuverability,Really Liked It. Very impressed.,"Inspired a lot of confidence. Let me make quick turn easily, ski faster quite comfortably.",Really nice and plush. Absorbed / muted out harsh snow very well.,"Firm groomers, Firm moguls, Fairly steep, more advanced terrain (e.g., Jokerville, Twister, Crystal)",It's among the most fun skis I've ever been on - in this category of skis,"I'd like to try a longer length, but not sure that longer would be better.",Almost *anyone* who wants to just have fun on the mountain,7,I already have a pair similar to this feel fun- but not what I am looking for,,,
